POPULATION,POP_CODE,GENO,SP,LAT,LON,ELEV,STATE,NEW_CODE,BEAVER,TAM,ELEVWC,Prec,precwetmo,precdrymo,precCoV,precwetqtr,precdryqtr,precwarmqtr,preccoldqtr,MAT,MDR,MAXT,MINT,CART,MWET,MDRY,MWAR,MCOL
I-17Creek,17C,17C420,POFR,34.78313,-111.61345,1786,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C421,POFR,34.78311,-111.61355,1779,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C422,POFR,34.78321,-111.61367,1762,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C423,POFR,34.78305,-111.61372,1774,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C424,POFR,34.78311,-111.61372,1768,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C425,POFR,34.78301,-111.61388,1766,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C426,POFR,34.78286,-111.61406,1771,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C427,POFR,34.78276,-111.61423,1767,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C428,POFR,34.78281,-111.61427,1767,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
I-17Creek,17C,17C429,POFR,34.78281,-111.61427,1767,AZ,MRN-RAT,,N,1792,599,77,11,39,196,64,157,177,11.4,16.3,30.7,-4.9,35.6,20.3,14.3,20.9,2.7
FourtyNinePalmsOasis,49P,49P1,POFR,34.106,-116.105,844,CA,JTF-FNP,,,982,207,27,1,45,77,18,42,76,17.4,16.2,37.4,1.4,36,10,20,27,8.8
FourtyNinePalmsOasis,49P,49P2,POFR,34.106,-116.105,844,CA,JTF-FNP,,,982,207,27,1,45,77,18,42,76,17.4,16.2,37.4,1.4,36,10,20,27,8.8
FourtyNinePalmsOasis,49P,49P3,POFR,34.106,-116.105,844,CA,JTF-FNP,,,982,207,27,1,45,77,18,42,76,17.4,16.2,37.4,1.4,36,10,20,27,8.8
